Nom complet,Pays,Résultat,Sport,Epreuve,Médaille,Position
aaron wolf,JPN,Unknown,judo,100kg-h,Gold,1
guham cho,KOR,Unknown,judo,100kg-h,Silver,2
jorge fonseca,POR,Unknown,judo,100kg-h,Bronze,3
niiaz iliasov,ROC,Unknown,judo,100kg-h,Bronze,3
shady elnahas,CAN,Unknown,judo,100kg-h,NA,=5
varlam liparteliani,GEO,Unknown,judo,100kg-h,NA,=5
peter paltchik,ISR,Unknown,judo,100kg-h,NA,=7
karl-richard frey,GER,Unknown,judo,100kg-h,NA,=7
zelym kotsoiev,AZE,Unknown,judo,100kg-h,NA,=9
toma nikiforov,BEL,Unknown,judo,100kg-h,NA,=9
ramadan darwish,EGY,Unknown,judo,100kg-h,NA,=9
miklos cirjenics,HUN,Unknown,judo,100kg-h,NA,=9
otgonbaatar lkhagvasuren,MGL,Unknown,judo,100kg-h,NA,=9
michael korrel,NED,Unknown,judo,100kg-h,NA,=9
aleksandar kukolj,SRB,Unknown,judo,100kg-h,NA,=9
mukhammadkarim khurramov,UZB,Unknown,judo,100kg-h,NA,=9
mikita sviryd,BLR,Unknown,judo,100kg-h,NA,=17
rafael buzacarini,BRA,Unknown,judo,100kg-h,NA,=17
grigori minaskin,EST,Unknown,judo,100kg-h,NA,=17
tevita takayawa,FIJ,Unknown,judo,100kg-h,NA,=17
alexandre iddir,FRA,Unknown,judo,100kg-h,NA,=17
benjamin fletcher,IRL,Unknown,judo,100kg-h,NA,=17
hussain shah shah,PAK,Unknown,judo,100kg-h,NA,=17
ivan remarenco,UAE,Unknown,judo,100kg-h,NA,=17
jevgenijs borodavko,LAT,Unknown,judo,100kg-h,NA,Non classé
izaac stubblety-cook,AUS,Résultats:2:06.38,natation,200m-brasse-h,Gold,1
arno kamminga,NED,Résultats:2:07.01,natation,200m-brasse-h,Silver,2
matti mattsson,FIN,Résultats:2:07.13,natation,200m-brasse-h,Bronze,3
anton chupkov,ROC,Résultats:2:07.24,natation,200m-brasse-h,NA,4
nic fink,USA,Résultats:2:07.93,natation,200m-brasse-h,NA,5
james wilby,GBR,Résultats:2:08.19,natation,200m-brasse-h,NA,6
ryuya mura,JPN,Résultats:2:08.42,natation,200m-brasse-h,NA,7
erik persson,SWE,Résultats:2:08.88,natation,200m-brasse-h,NA,8
emma twigg,NZL,Unknown,aviron,skiff-f,Gold,1
hanna prakatsen,ROC,Unknown,aviron,skiff-f,Silver,2
magdalena lobnig,AUT,Unknown,aviron,skiff-f,Bronze,3
victoria thornley,GBR,Unknown,aviron,skiff-f,NA,4
jeannine gmelin,SUI,Unknown,aviron,skiff-f,NA,5
yan jiang,CHN,Unknown,aviron,skiff-f,NA,6
sophie souwer,NED,Unknown,aviron,skiff-f,NA,7
carling zeeman,CAN,Unknown,aviron,skiff-f,NA,8
kara kohler,USA,Unknown,aviron,skiff-f,NA,9
anneta kyridou,GRE,Unknown,aviron,skiff-f,NA,10
nazanin malaei,IRI,Unknown,aviron,skiff-f,NA,11
sanita puspure,IRL,Unknown,aviron,skiff-f,NA,12
tatsiana klimovich,BLR,Unknown,aviron,skiff-f,NA,13
lovisa claesson,SWE,Unknown,aviron,skiff-f,NA,14
jovana arsic,SRB,Unknown,aviron,skiff-f,NA,15
kenia lechuga alanis,MEX,Unknown,aviron,skiff-f,NA,16
milena venega cancio,CUB,Unknown,aviron,skiff-f,NA,17
maike diekmann,NAM,Unknown,aviron,skiff-f,NA,18
felice chow,TTO,Unknown,aviron,skiff-f,NA,19
yi-ting huang,TPE,Unknown,aviron,skiff-f,NA,20
alejandra alonso,PAR,Unknown,aviron,skiff-f,NA,21
veronica toro arana,PUR,Unknown,aviron,skiff-f,NA,22
wing yan winne hung,HKG,Unknown,aviron,skiff-f,NA,23
hyejeong jeong,KOR,Unknown,aviron,skiff-f,NA,24
tala abujbara,QAT,Unknown,aviron,skiff-f,NA,25
kathleen noble,UGA,Unknown,aviron,skiff-f,NA,26
evidelia gonzalez jarquin,NCA,Unknown,aviron,skiff-f,NA,27
joan poh,SGP,Unknown,aviron,skiff-f,NA,28
sarah fraincart,MAR,Unknown,aviron,skiff-f,NA,29
esther toko,NGR,Unknown,aviron,skiff-f,NA,30
akossiwa claire ayivon,TOG,Unknown,aviron,skiff-f,NA,31
esraa khogali,SUD,Unknown,aviron,skiff-f,NA,32
lijun chen,CHN,Résultats:332,halterophilie,67kg-h,Gold,1
luis javier mosquera lozano,COL,Résultats:331,halterophilie,67kg-h,Silver,2
mirko zanni,ITA,Résultats:322,halterophilie,67kg-h,Bronze,3
myeongmok han,KOR,Résultats:321,halterophilie,67kg-h,NA,4
talha talib,PAK,Résultats:320,halterophilie,67kg-h,NA,5
adkhamjon ergashev,UZB,Résultats:312,halterophilie,67kg-h,NA,6
mitsunori konnai,JPN,Résultats:307,halterophilie,67kg-h,NA,7
goga chkheidze,GEO,Résultats:302,halterophilie,67kg-h,NA,8
. deni,INA,Résultats:301,halterophilie,67kg-h,NA,9
jonathan antonio munoz martinez,MEX,Résultats:298,halterophilie,67kg-h,NA,10
tojonirina alain andriantsitohaina,MAD,Résultats:285,halterophilie,67kg-h,NA,11
ruben katoatau,KIR,Résultats:245,halterophilie,67kg-h,NA,12
bernardin ledoux kingue matam,FRA,Résultats:-,halterophilie,67kg-h,NA,Non classé
muhammed furkan ozbek,TUR,Résultats:-,halterophilie,67kg-h,NA,Non classé
ariarne titmus,AUS,Résultats:3:56.69,natation,400m-nage-libre-f,Gold,1
katie ledecky,USA,Résultats:3:57.36,natation,400m-nage-libre-f,Silver,2
bingjie li,CHN,Résultats:4:01.08,natation,400m-nage-libre-f,Bronze,3
summer mcintosh,CAN,Résultats:4:02.42,natation,400m-nage-libre-f,NA,4
muhan tang,CHN,Résultats:4:04.10,natation,400m-nage-libre-f,NA,5
isabel gose,GER,Résultats:4:04.98,natation,400m-nage-libre-f,NA,6
paige madden,USA,Résultats:4:06.81,natation,400m-nage-libre-f,NA,7
erika fairweather,NZL,Résultats:4:08.01,natation,400m-nage-libre-f,NA,8
yuto horigome,JPN,Unknown,skateboard,street-h,Gold,1
kelvin hoefler,BRA,Unknown,skateboard,street-h,Silver,2
jagger eaton,USA,Unknown,skateboard,street-h,Bronze,3
vincent milou,FRA,Unknown,skateboard,street-h,NA,4
angelo caro narvaez,PER,Unknown,skateboard,street-h,NA,5
aurélien giraud,FRA,Unknown,skateboard,street-h,NA,6
nyjah imani huston,USA,Unknown,skateboard,street-h,NA,7
gustavo ribeiro,POR,Unknown,skateboard,street-h,NA,8
sora shirai,JPN,Unknown,skateboard,street-h,NA,9
micky papa,CAN,Unknown,skateboard,street-h,NA,10
jake ilardi,USA,Unknown,skateboard,street-h,NA,11
giovanni vianna,BRA,Unknown,skateboard,street-h,NA,12
axel cruysberghs,BEL,Unknown,skateboard,street-h,NA,13
gustavo felipe,BRA,Unknown,skateboard,street-h,NA,14
luis jhancarlos gonzalez ortiz,COL,Unknown,skateboard,street-h,NA,15
shane o'neill,AUS,Unknown,skateboard,street-h,NA,16
yukito aoki,JPN,Unknown,skateboard,street-h,NA,17
brandon valjalo,RSA,Unknown,skateboard,street-h,NA,18
manny santiago,PUR,Unknown,skateboard,street-h,NA,19
matt berger,CAN,Unknown,skateboard,street-h,NA,20
lisa carrington,NZL,Unknown,canoe-sprint,kayak-simple-200m-f,Gold,1
teresa portela,ESP,Unknown,canoe-sprint,kayak-simple-200m-f,Silver,2
emma jorgensen,DEN,Unknown,canoe-sprint,kayak-simple-200m-f,Bronze,3
marta walczykiewicz,POL,Unknown,canoe-sprint,kayak-simple-200m-f,NA,4
linnea stensils,SWE,Unknown,canoe-sprint,kayak-simple-200m-f,NA,5
dora lucz,HUN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,6
francesca genzo,ITA,Unknown,canoe-sprint,kayak-simple-200m-f,NA,7
deborah kerr,GBR,Unknown,canoe-sprint,kayak-simple-200m-f,NA,8
andreanne langlois,CAN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,9
teresa portela,POR,Unknown,canoe-sprint,kayak-simple-200m-f,NA,10
svetlana chernigovskaya,ROC,Unknown,canoe-sprint,kayak-simple-200m-f,NA,11
mengdie yin,CHN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,12
michelle russell,CAN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,=13
milica starovic,SRB,Unknown,canoe-sprint,kayak-simple-200m-f,NA,=13
qing ma,CHN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,15
anna karasz,HUN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,16
helena wisniewska,POL,Unknown,canoe-sprint,kayak-simple-200m-f,NA,17
emily lewis,GBR,Unknown,canoe-sprint,kayak-simple-200m-f,NA,18
vanina paoletti,FRA,Unknown,canoe-sprint,kayak-simple-200m-f,NA,19
natalia podolskaia,ROC,Unknown,canoe-sprint,kayak-simple-200m-f,NA,20
anamaria govorcinovic,CRO,Unknown,canoe-sprint,kayak-simple-200m-f,NA,21
lea jamelot,FRA,Unknown,canoe-sprint,kayak-simple-200m-f,NA,22
joana vasconcelos,POR,Unknown,canoe-sprint,kayak-simple-200m-f,NA,23
sara corfixsen milthers,DEN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,24
yuliia yuriichuk,UKR,Unknown,canoe-sprint,kayak-simple-200m-f,NA,25
mariia kichasova-skoryk,UKR,Unknown,canoe-sprint,kayak-simple-200m-f,NA,26
brenda rojas,ARG,Unknown,canoe-sprint,kayak-simple-200m-f,NA,27
yuka ono,JPN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,28
khaoula sassi,TUN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,29
natalya sergeyeva,KAZ,Unknown,canoe-sprint,kayak-simple-200m-f,NA,30
anne cairns,SAM,Unknown,canoe-sprint,kayak-simple-200m-f,NA,31
samaa ahmed,EGY,Unknown,canoe-sprint,kayak-simple-200m-f,NA,32
jade tierney,COK,Unknown,canoe-sprint,kayak-simple-200m-f,NA,33
amira kheris,ALG,Unknown,canoe-sprint,kayak-simple-200m-f,NA,34
lee kiefer,USA,Unknown,escrime,fleuret-individuel-f,Gold,1
inna deriglazova,ROC,Unknown,escrime,fleuret-individuel-f,Silver,2
larisa korobeynikova,ROC,Unknown,escrime,fleuret-individuel-f,Bronze,3
alice volpi,ITA,Unknown,escrime,fleuret-individuel-f,NA,4
arianna errigo,ITA,Unknown,escrime,fleuret-individuel-f,NA,5
yuka ueno,JPN,Unknown,escrime,fleuret-individuel-f,NA,6
hee sook jeon,KOR,Unknown,escrime,fleuret-individuel-f,NA,7
kelleigh ryan,CAN,Unknown,escrime,fleuret-individuel-f,NA,8
ysaora thibus,FRA,Unknown,escrime,fleuret-individuel-f,NA,9
adelina zagidullina,ROC,Unknown,escrime,fleuret-individuel-f,NA,10
qingyuan chen,CHN,Unknown,escrime,fleuret-individuel-f,NA,11
