Nom complet,Pays,Résultat,Sport,Epreuve,Médaille,Position
Max Rendschmidt,Allemagne,1:22.219,canoe-sprint,kayak-quatre-500m-h,Gold,Unknown
Max Lemke,Allemagne,1:22.219,canoe-sprint,kayak-quatre-500m-h,Gold,Unknown
Ronald Rauhe,Allemagne,1:22.219,canoe-sprint,kayak-quatre-500m-h,Gold,Unknown
Tom Liebscher,Allemagne,1:22.219,canoe-sprint,kayak-quatre-500m-h,Gold,Unknown
Marcus Walz, Espagne,1:22.445,canoe-sprint,kayak-quatre-500m-h,Silver,Unknown
Carlos Arevalo Lopez, Espagne,1:22.445,canoe-sprint,kayak-quatre-500m-h,Silver,Unknown
Saul Craviotto, Espagne,1:22.445,canoe-sprint,kayak-quatre-500m-h,Silver,Unknown
Rodrigo Germade, Espagne,1:22.445,canoe-sprint,kayak-quatre-500m-h,Silver,Unknown
Denis Mysak,Slovaquie,1:23.534,canoe-sprint,kayak-quatre-500m-h,Bronze,Unknown
Erik Vlcek,Slovaquie,1:23.534,canoe-sprint,kayak-quatre-500m-h,Bronze,Unknown
Adam Botek,Slovaquie,1:23.534,canoe-sprint,kayak-quatre-500m-h,Bronze,Unknown
Samuel Balaz,Slovaquie,1:23.534,canoe-sprint,kayak-quatre-500m-h,Bronze,Unknown
Maxim Spesivtsev,Comité olympique russe,1:23.654,canoe-sprint,kayak-quatre-500m-h,NA,Unknown
Roman Anoshkin,Comité olympique russe,1:23.654,canoe-sprint,kayak-quatre-500m-h,NA,Unknown
Aleksandr Sergeev,Comité olympique russe,1:23.654,canoe-sprint,kayak-quatre-500m-h,NA,Unknown
Artem Kuzakhmetov,Comité olympique russe,1:23.654,canoe-sprint,kayak-quatre-500m-h,NA,Unknown
Dzmitry Natynchyk, Bélarus,1:24.510,canoe-sprint,kayak-quatre-500m-h,NA,Unknown
Ilya Fedarenka, Bélarus,1:24.510,canoe-sprint,kayak-quatre-500m-h,NA,Unknown
Mikita Borykau, Bélarus,1:24.510,canoe-sprint,kayak-quatre-500m-h,NA,Unknown
Uladzislau Litvinau, Bélarus,1:24.510,canoe-sprint,kayak-quatre-500m-h,NA,Unknown
Riley Fitzsimmons,  Australie,1:25.025,canoe-sprint,kayak-quatre-500m-h,NA,Unknown
